closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
          Theo. Bliaut +3 |          1 |            NOT FOUND | WHM                                                                                      |                                          theophany bliaut +3
           Ankusa Helm +1 |          1 |            NOT FOUND | BST                                                                                      |                                               ankusa helm +1
          Cohort Cloak +1 |          1 |           Wardrobe 8 | BLM                                                                                      |                                              cohort cloak +1
         Odyssean Cuisses |          1 |            NOT FOUND | WAR                                                                                      |                                             odyssean cuisses
          Serpentes Cuffs |          1 |            NOT FOUND | WHM                                                                                      |                                              serpentes cuffs
              Volte Boots |          1 |            NOT FOUND | RDM                                                                                      |                                                  volte boots
         Leth. Chappel +2 |          1 |            NOT FOUND | RDM                                                                                      |                                          lethargy chappel +2
               Haven Hose |          1 |            NOT FOUND | BST                                                                                      |                                                   haven hose
        Aoidos' Rhing. +2 |          1 |            NOT FOUND | BRD                                                                                      |                                         aoidos' rhingrave +2
            Ankusa Gloves |          1 |            NOT FOUND | BST                                                                                      |                                                ankusa gloves
         Chev. Earring +1 |          1 |           Wardrobe 2 | PLD                                                                                      |                                       chevalier's earring +1
          Tati Earring +1 |          1 |            NOT FOUND | BST                                                                                      |                                              tati earring +1
          Ebers Bliaut +2 |          1 |            NOT FOUND | WHM                                                                                      |                                              ebers bliaut +2
          Kengo Hachimaki |          1 |            NOT FOUND | WAR                                                                                      |                                              kengo hachimaki
               Shiva Ring |          1 |            NOT FOUND | PLD                                                                                      |                                                   Shiva ring
                 Naegling |          1 |             Wardrobe | RNG                                                                                      |                                                     Naegling
             Niobid Strap |          1 |            NOT FOUND | BLM                                                                                      |                                                 niobid strap
            Takaha Mantle |          1 |            NOT FOUND | SAM                                                                                      |                                                takaha mantle
          Apogee Crown +1 |          1 |           Wardrobe 5 | SMN                                                                                      |                                              apogee crown +1
          Oretan. Cape +1 |          1 |            NOT FOUND | BLM                                                                                      |                                           Oretania's cape +1
         Svelt. Gouriz +1 |          1 |            NOT FOUND | COR                                                                                      |                                          sveltesse gouriz +1
              Ej Necklace |          1 |            NOT FOUND | NIN                                                                                      |                                                  ej necklace
       Theophany Mitts +3 |          1 |            NOT FOUND | WHM                                                                                      |                                           theophany mitts +3
           Sparrowhawk +3 |          1 |            NOT FOUND | RNG                                                                                      |                                               sparrowhawk +3
            Shadow Gorget |          1 |            NOT FOUND | SAM                                                                                      |                                                shadow gorget
           Herculean Vest |          1 |           Wardrobe 8 | BLU                                                                                      |                                               herculean vest
        Channeler's Stone |          1 |            NOT FOUND | SMN                                                                                      |                                            channeler's stone
          Phalaina Locket |          1 |           Wardrobe 3 | BLM                                                                                      |                                              phalaina locket
           Regal Pumps +1 |          1 |            NOT FOUND | PUP                                                                                      |                                               regal pumps +1
           Otronif Gloves |          1 |            NOT FOUND | MNK                                                                                      |                                               otronif gloves
        Lanun Tricorne +3 |          1 |            NOT FOUND | COR                                                                                      |                                            lanun tricorne +3
           Boii Lorica +1 |          1 |            NOT FOUND | WAR                                                                                      |                                               boii lorica +1
         Bihu Slippers +1 |          1 |            NOT FOUND | BRD                                                                                      |                                             bihu slippers +1
           Pratik Earring |          1 |            NOT FOUND | PUP                                                                                      |                                               pratik earring
           Hauksbok Arrow |          1 |           Wardrobe 4 | RNG                                                                                      |                                               Hauksbok arrow
        Azimuth Gloves +3 |          1 |            NOT FOUND | GEO                                                                                      |                                            azimuth gloves +3
            Eminent Arrow |          1 |            NOT FOUND | SAM                                                                                      |                                                eminent arrow
           Letalis Mantle |          1 |            NOT FOUND | MNK                                                                                      |                                               letalis mantle
           Volley Earring |          1 |            NOT FOUND | COR                                                                                      |                                               volley earring
         Adamantite Armor |          1 |           Wardrobe 8 | BLM                                                                                      |                                     suit of adamantite armor
         Karagoz Farsetto |          1 |            NOT FOUND | PUP                                                                                      |                                             karagoz farsetto
          Rosette Jaseran |          1 |            NOT FOUND | BLM                                                                                      |                                              rosette jaseran
       Combatant's Torque |          1 |            NOT FOUND | RDM                                                                                      |                                           combatant's torque
               Dolichenus |          1 |            NOT FOUND | RDM                                                                                      |                                                   Dolichenus
           Agoge Mufflers |          1 |            NOT FOUND | WAR                                                                                      |                                               agoge mufflers
           Danzo Sune-Ate |          1 |            NOT FOUND | NIN                                                                                      |                                               danzo sune-ate
       Justiciar's Torque |          1 |            NOT FOUND | BST                                                                                      |                                           justiciar's torque
       Luhlaza Charuqs +1 |          1 |            NOT FOUND | BLU                                                                                      |                                           luhlaza charuqs +1
            Acro Breeches |          1 |            NOT FOUND | BST                                                                                      |                                                acro breeches
           Bagua Charm +1 |          1 |           Wardrobe 3 | GEO                                                                                      |                                               bagua charm +1
           Hieros Mittens |          1 |            NOT FOUND | BRD                                                                                      |                                               hieros mittens
                 Yetshila |          1 |            NOT FOUND | NIN                                                                                      |                                                     Yetshila
     Blistering Sallet +1 |          1 |           Wardrobe 5 | MNK                                                                                      |                                         blistering sallet +1
            Patentia Sash |          1 |            NOT FOUND | BST                                                                                      |                                                patentia sash
          Mummu Bonnet +2 |          1 |            NOT FOUND | RDM                                                                                      |                                              Mummu bonnet +2
          Ankusa Trousers |          1 |            NOT FOUND | BST                                                                                      |                                              ankusa trousers
        Runeist Bottes +2 |          1 |            NOT FOUND | RUN                                                                                      |                                            runeist bottes +2
             Aesir Torque |          1 |            NOT FOUND | SMN                                                                                      |                                                 aesir torque
           Thur. Boots +1 |          1 |            NOT FOUND | MNK                                                                                      |                                          Thurandaut boots +1
        Waki. Sune-Ate +1 |          1 |            NOT FOUND | SAM                                                                                      |                                           wakido sune-ate +1
        Evasionist's Cape |          1 |            NOT FOUND | RUN                                                                                      |                                            evasionist's cape
           Agelast Torque |          2 |            NOT FOUND | WAR                                                                                      |                                               agelast torque
       Arbatel Bracers +3 |          2 |            NOT FOUND | SCH                                                                                      |                                           arbatel bracers +3
              Vor Earring |          2 |           Wardrobe 2 | RDM                                                                                      |                                                  Vor earring
         Tantra Cyclas +2 |          2 |            NOT FOUND | MNK                                                                                      |                                             tantra cyclas +2
             Obstin. Sash |          2 |           Wardrobe 3 | RDM                                                                                      |                                               obstinate sash
           Bagua Pants +3 |          2 |            NOT FOUND | GEO                                                                                      |                                               bagua pants +3
          Segomo's Mantle |          2 |           Sack, Sack | MNK                                                                                      |                                              Segomo's mantle
       Chasseur's Frac +1 |          2 |            NOT FOUND | COR                                                                                      |                                           chasseur's frac +1
              Malevolence |          2 | Wardrobe, Wardrobe 8 | RDM                                                                                      |                                                  malevolence
            Wakido Kabuto |          2 |            NOT FOUND | SAM                                                                                      |                                                wakido kabuto
          Empath Necklace |          2 |           Wardrobe 3 | BST                                                                                      |                                              empath necklace
         Turms Mittens +1 |          2 |           Wardrobe 5 | RUN                                                                                      |                                             Turms mittens +1
               Kustawi +1 |          2 |            NOT FOUND | RNG                                                                                      |                                                   kustawi +1
          Orion Jerkin +3 |          2 |            NOT FOUND | RNG                                                                                      |                                              orion jerkin +3
        Carm. Sc. Mail +1 |          2 |            NOT FOUND | RNG                                                                                      |                                        carmine scale mail +1
       Hattori Earring +1 |          2 |           Wardrobe 2 | NIN                                                                                      |                                           hattori earring +1
              Pahtli Cape |          2 |            NOT FOUND | SMN                                                                                      |                                                  pahtli cape
          Wicce Sabots +1 |          2 |            NOT FOUND | BLM                                                                                      |                                              wicce sabots +1
           Taranus's Cape |          2 |            NOT FOUND | BLM                                                                                      |                                               Taranus's cape
           Asklepian Ring |          2 |            NOT FOUND | RDM                                                                                      |                                               asklepian ring
               Black Belt |          2 |            NOT FOUND | MNK                                                                                      |                                                   black belt
               Cho'j Band |          2 |            NOT FOUND | PLD                                                                                      |                                                   cho'j band
          Unkai Kabuto +2 |          2 |            NOT FOUND | SAM                                                                                      |                                              unkai kabuto +2
          Sakonji Haidate |          2 |            NOT FOUND | SAM                                                                                      |                                              sakonji haidate
          Globidonta Ring |          2 |            NOT FOUND | GEO                                                                                      |                                              globidonta ring
         Psystorm Earring |          2 |            NOT FOUND | SMN,BRD                                                                                  |                                             psystorm earring
          Brioso Cuffs +2 |          2 |            NOT FOUND | BRD                                                                                      |                                              brioso cuffs +2
         Sonia's Plectrum |          2 |            NOT FOUND | NIN,MNK                                                                                  |                                             Sonia's plectrum
            Bokwus Gloves |          2 |            NOT FOUND | SMN                                                                                      |                                                Bokwus gloves
         Futhark Boots +1 |          2 |            NOT FOUND | RUN                                                                                      |                                             futhark boots +1
           Baetyl Pendant |          2 |           Wardrobe 8 | COR,RDM                                                                                  |                                               baetyl pendant
         Lugra Earring +1 |          2 |            NOT FOUND | SAM                                                                                      |                                             lugra earring +1
                 Ea Cuffs |          2 |            NOT FOUND | BLM                                                                                      |                                                     Ea cuffs
        Oce. Headpiece +1 |          2 |            NOT FOUND | NIN,MNK                                                                                  |                                        ocelomeh headpiece +1
           Repulse Mantle |          2 |            NOT FOUND | PLD                                                                                      |                                               repulse mantle
             Haruspex Hat |          2 |            NOT FOUND | MNK                                                                                      |                                                 haruspex hat
         Wh. Rarab Cap +1 |          2 |            Inventory | SAM                                                                                      |                                           white rarab cap +1
           Enif Cosciales |          2 |            NOT FOUND | PLD                                                                                      |                                               enif cosciales
              Bolelabunga |          2 |             Wardrobe | WHM,SCH                                                                                  |                                                  Bolelabunga
         Hachi. Chain. +1 |          2 |            NOT FOUND | NIN                                                                                      |                                         hachiya chainmail +1
         Tot. Jackcoat +2 |          2 |            NOT FOUND | BST                                                                                      |                                          totemic jackcoat +2
         Bagua Sandals +2 |          2 |            NOT FOUND | GEO                                                                                      |                                             bagua sandals +2
             Karieyh Ring |          2 |            NOT FOUND | DRG                                                                                      |                                                 Karieyh ring
       Vitiation Boots +3 |          2 |            NOT FOUND | RDM                                                                                      |                                           vitiation boots +3
            Oneiros Knife |          2 |            NOT FOUND | RNG,RDM                                                                                  |                                                oneiros knife
          Cornflower Cape |          2 |               Locker | BLU                                                                                      |                                              cornflower cape
           Kuchekula Ring |          2 |           Wardrobe 8 | SCH                                                                                      |                                               kuchekula ring
             Nusku Shield |          2 |             Wardrobe | RNG                                                                                      |                                                 Nusku shield
             Wisent Kecks |          2 |            NOT FOUND | BST                                                                                      |                                                 wisent kecks
               Umuthi Hat |          2 |            NOT FOUND | WHM,BRD                                                                                  |                                                   umuthi hat
          Gende. Gages +1 |          2 |           Wardrobe 6 | WHM,BRD                                                                                  |                                          Gendewitha gages +1
             Haoma's Ring |          2 |           Wardrobe 8 | WHM,SCH                                                                                  |                                                 Haoma's ring
            Geo. Tunic +1 |          2 |            NOT FOUND | GEO                                                                                      |                                            geomancy tunic +1
            Elan Strap +1 |          2 |           Wardrobe 2 | SMN                                                                                      |                                                elan strap +1
           Herculean Helm |          2 | Safe 2, Wardrobe 6, Wardrobe 8 | BLU,PUP                                                                                  |                                               herculean helm
        Jhakri Coronal +2 |          2 |            NOT FOUND | GEO                                                                                      |                                            jhakri coronal +2
         Mochi. Chainmail |          2 |            NOT FOUND | NIN                                                                                      |                                          mochizuki chainmail
           Ea Houppelande |          2 |            NOT FOUND | BLM                                                                                      |                                               Ea houppelande
            Bagua Sandals |          2 |            NOT FOUND | GEO                                                                                      |                                                bagua sandals
          Hes. Gaiters +1 |          2 |            NOT FOUND | MNK                                                                                      |                                       hesychast's gaiters +1
               Digirbalag |          2 |            NOT FOUND | BST                                                                                      |                                                   Digirbalag
        Futhark Torque +1 |          2 |           Wardrobe 3 | RUN                                                                                      |                                            futhark torque +1
              Bunzi's Hat |          2 |           Wardrobe 5 | BRD                                                                                      |                                                  Bunzi's hat
                Null Belt |          2 |           Wardrobe 8 | RDM                                                                                      |                                                    null belt
        Atrophy Gloves +3 |          2 |            NOT FOUND | RDM                                                                                      |                                            atrophy gloves +3
         Arbatel Pants +2 |          2 |            NOT FOUND | SCH                                                                                      |                                             arbatel pants +2
               Regal Belt |          2 |           Wardrobe 3 | SMN                                                                                      |                                                   regal belt
             Bokwus Boots |          2 |            NOT FOUND | SMN,BRD                                                                                  |                                                 Bokwus boots
          Rimeice Earring |          2 |           Wardrobe 2 | PUP                                                                                      |                                              rimeice earring
              Hajduk Ring |          2 |            NOT FOUND | SAM                                                                                      |                                                  hajduk ring
       Arbatel Loafers +3 |          2 |            NOT FOUND | SCH                                                                                      |                                           arbatel loafers +3
            Valorous Mail |          2 |               Safe 2 | BST                                                                                      |                                                valorous mail
                 Isa Belt |          2 |           Wardrobe 3 | BST,GEO                                                                                  |                                                     isa belt
         Ethereal Earring |          2 |            NOT FOUND | BLM                                                                                      |                                             ethereal earring
            Volte Bracers |          2 |           Wardrobe 8 | RNG,RDM                                                                                  |                                                volte bracers
            Valorous Mask |          2 |            NOT FOUND | BST,SAM                                                                                  |                                                valorous mask
             Thunder Belt |          2 |            NOT FOUND | WHM,MNK                                                                                  |                                                 thunder belt
          Carmine Mask +1 |          2 |            NOT FOUND | RDM                                                                                      |                                              carmine mask +1
         Summoner's Spats |          2 |            NOT FOUND | SMN                                                                                      |                                             summoner's spats
           Bunzi's Sabots |          2 |           Wardrobe 5 | RDM                                                                                      |                                               Bunzi's sabots
             Cab. Surcoat |          2 |            NOT FOUND | PLD                                                                                      |                                          caballarius surcoat
         Intarabus's Cape |          2 | Sack, Sack, Sack, Sack | BRD                                                                                      |                                             Intarabus's cape
              Hes. Cyclas |          2 |            NOT FOUND | MNK                                                                                      |                                           hesychast's cyclas
         Chelona Boots +1 |          2 |            NOT FOUND | WHM,SMN                                                                                  |                                             chelona boots +1
         Orion Braccae +2 |          2 |            NOT FOUND | RNG,RDM                                                                                  |                                             orion braccae +2
          Bathy Choker +1 |          2 |            NOT FOUND | DRG,RNG                                                                                  |                                              bathy choker +1
           Meghanada Ring |          2 |            NOT FOUND | RNG                                                                                      |                                               meghanada ring
            Sirona's Ring |          2 |            NOT FOUND | SMN,BRD                                                                                  |                                                Sirona's ring
         Heka's Kalasiris |          2 |            NOT FOUND | SMN,BRD                                                                                  |                                             Heka's kalasiris
           Passion Jacket |          2 |            NOT FOUND | RDM                                                                                      |                                               passion jacket
        Agoge Calligae +3 |          2 |            NOT FOUND | WAR                                                                                      |                                            agoge calligae +3
        Agitator's Collar |          2 |            NOT FOUND | SAM                                                                                      |                                            agitator's collar
         Crepuscular Ring |          2 |           Wardrobe 4 | GEO                                                                                      |                                             crepuscular ring
      Souv. Diechlings +1 |          2 |           Wardrobe 5 | PLD                                                                                      |                                       souveran diechlings +1
              Nares Trews |          2 |            NOT FOUND | WHM,SMN                                                                                  |                                                  Nares trews
               Casso Sash |          2 |            NOT FOUND | GEO                                                                                      |                                                   casso sash
           Flamma Dirs +2 |          2 |            NOT FOUND | DRG,WAR                                                                                  |                                               flamma dirs +2
             Mujin Mantle |          2 |            NOT FOUND | RUN                                                                                      |                                                 mujin mantle
              Regal Cuffs |          2 |           Wardrobe 6 | RDM                                                                                      |                                                  regal cuffs
               Ifrit Ring |          2 |            NOT FOUND | GEO                                                                                      |                                                   Ifrit ring
         Call. Bracers +2 |          2 |            NOT FOUND | SMN                                                                                      |                                          caller's bracers +2
            Unkai Kote +2 |          2 |            NOT FOUND | SAM                                                                                      |                                                unkai kote +2
          Ioskeha Belt +1 |          2 |            NOT FOUND | WAR                                                                                      |                                              ioskeha belt +1
            Eddy Necklace |          2 |            NOT FOUND | GEO,PLD                                                                                  |                                                eddy necklace
            Wiglen Gorget |          2 |            NOT FOUND | NIN,MNK                                                                                  |                                                wiglen gorget
              Kunaji Ring |          2 |            NOT FOUND | BLU,RDM                                                                                  |                                                  kunaji ring
           Burana Earring |          2 |            NOT FOUND | PUP                                                                                      |                                               burana earring
         Tot. Jackcoat +1 |          2 |            NOT FOUND | BST                                                                                      |                                          totemic jackcoat +1
             Demonry Core |          2 |            NOT FOUND | BST                                                                                      |                                                 demonry core
            Gleti's Knife |          2 |             Wardrobe | RDM                                                                                      |                                                Gleti's knife
               Varar Ring |          2 |            NOT FOUND | SMN                                                                                      |                                                   varar ring
          Futhark Coat +3 |          2 |            Inventory | RUN                                                                                      |                                              futhark coat +3
            Excelsis Ring |          2 |            NOT FOUND | GEO,SMN                                                                                  |                                                excelsis ring
         Nourish. Earring |          2 |            NOT FOUND | WHM                                                                                      |                                           nourishing earring
           Austerity Belt |          2 |            NOT FOUND | WHM,PLD                                                                                  |                                               austerity belt
         Shepherd's Chain |          2 |           Wardrobe 3 | BST,PUP                                                                                  |                                             shepherd's chain
       Staunch Tathlum +1 |          2 |            NOT FOUND | WAR                                                                                      |                                           staunch tathlum +1
           Tuisto Earring |          2 |            NOT FOUND | RDM                                                                                      |                                               Tuisto earring
           Founder's Hose |          2 |           Wardrobe 6 | PLD                                                                                      |                                               founder's hose
                  Nirvana |          2 |             Wardrobe | SMN                                                                                      |                                                      Nirvana
           Bunzi's Gloves |          2 |           Wardrobe 5 | BRD                                                                                      |                                               Bunzi's gloves
                Cetl Belt |          2 |            NOT FOUND | PLD                                                                                      |                                                    cetl belt
            Cab. Leggings |          2 |            NOT FOUND | PLD                                                                                      |                                         caballarius leggings
       Jhakri Pigaches +2 |          3 |            NOT FOUND | GEO,BLU                                                                                  |                                           jhakri pigaches +2
           Ptero. Mail +3 |          3 |            NOT FOUND | DRG                                                                                      |                                          pteroslaver mail +3
        Merlinic Dastanas |          3 | Wardrobe 6, Wardrobe 6 | SMN                                                                                      |                                            merlinic dastanas
             Qaaxo Tights |          3 |            NOT FOUND | MNK                                                                                      |                                                 qaaxo tights
           Fu. Bandeau +3 |          3 |            Inventory | RUN                                                                                      |                                           futhark bandeau +3
       Hashishin Kavuk +3 |          3 |            NOT FOUND | BLU                                                                                      |                                           hashishin kavuk +3
        Souv. Schaller +1 |          3 |           Wardrobe 5 | PLD                                                                                      |                                         souveran schaller +1
           Whirlpool Mask |          3 |            NOT FOUND | MNK                                                                                      |                                               whirlpool mask
            Breeze Gorget |          3 |            NOT FOUND | BST,SAM                                                                                  |                                                breeze gorget
              Garuda Ring |          3 |            NOT FOUND | SAM                                                                                      |                                                  Garuda ring
         Apogee Slacks +1 |          3 |           Wardrobe 5 | SMN                                                                                      |                                             apogee slacks +1
        Hashi. Earring +1 |          3 |           Wardrobe 2 | BLU                                                                                      |                                         hashishin earring +1
            Engraved Belt |          3 |           Wardrobe 3 | BST,NIN,RUN                                                                              |                                                engraved belt
        Karagoz Guanti +3 |          3 |            NOT FOUND | PUP                                                                                      |                                            karagoz guanti +3
           Ebers Pant. +2 |          3 |            NOT FOUND | WHM                                                                                      |                                          ebers pantaloons +2
         Kyrene's Earring |          3 |           Wardrobe 2 | BST                                                                                      |                                             Kyrene's earring
          Ptero. Armet +3 |          3 |            NOT FOUND | DRG                                                                                      |                                         pteroslaver armet +3
              Flame Pearl |          3 |            NOT FOUND | SAM                                                                                      |                                                  flame pearl
             Sangoma Ring |          3 |            NOT FOUND | SMN,BRD                                                                                  |                                                 sangoma ring
         Rev. Breeches +1 |          3 |            NOT FOUND | PLD                                                                                      |                                        reverence breeches +1
       Smertrios's Mantle |          3 |           Sack, Sack | SAM                                                                                      |                                           Smertrios's mantle
           C. Palug Crown |          3 |           Wardrobe 5 | SMN                                                                                      |                                             Cath Palug crown
      Peltast's Mezail +2 |          3 |            NOT FOUND | DRG                                                                                      |                                          peltast's mezail +2
            Weather. Ring |          3 |            NOT FOUND | GEO,SAM                                                                                  |                                            Weatherspoon ring
           Shomonjijoe +1 |          3 |           Wardrobe 5 | SMN                                                                                      |                                               shomonjijoe +1
